,Random,Greedy
1081,13.0,2.0
1082,13.0,6.0
1083,14.0,1.0
1084,12.0,3.0
1085,8.0,4.0
1086,21.0,2.0
1087,27.0,6.0
1088,13.0,2.0
1089,15.0,2.0
1090,15.0,2.0
1091,39.0,12.0
1092,26.0,3.0
1093,8.0,2.0
1094,9.0,2.0
1095,44.0,7.0
1096,55.0,6.0
1097,13.0,2.0
1098,12.0,2.0
1099,35.0,5.0
1100,8.0,3.0
1101,23.0,1.0
1102,35.0,4.0
1103,14.0,2.0
1104,23.0,3.0
1105,8.0,2.0
1106,11.0,1.0
1107,16.0,5.0
1108,10.0,2.0
1109,17.0,0.0
1110,39.0,4.0
1111,12.0,2.0
1112,10.0,2.0
1113,15.0,3.0
1114,11.0,2.0
1115,9.0,3.0
1116,29.0,3.0
1117,27.0,3.0
1118,25.0,4.0
1119,9.0,3.0
1120,54.0,9.0
1121,38.0,4.0
1122,32.0,9.0
1123,18.0,2.0
1124,6.0,5.0
1125,18.0,2.0
1126,13.0,1.0
1127,23.0,2.0
1128,8.0,3.0
1129,19.0,3.0
1130,18.0,4.0
1131,14.0,5.0
1132,24.0,4.0
1133,12.0,0.0
1134,14.0,3.0
1135,33.0,3.0
1136,20.0,6.0
1137,11.0,1.0
1138,16.0,3.0
1139,8.0,1.0
1140,10.0,1.0
1141,13.0,2.0
1142,13.0,2.0
1143,35.0,13.0
1144,39.0,4.0
1145,22.0,3.0
1146,9.0,3.0
1147,7.0,4.0
1148,39.0,7.0
1149,22.0,4.0
1150,13.0,2.0
1151,16.0,1.0
1152,15.0,1.0
1153,12.0,1.0
1154,17.0,6.0
1155,10.0,3.0
1156,17.0,3.0
1157,25.0,1.0
1158,19.0,1.0
1159,30.0,3.0
1160,10.0,3.0
1161,24.0,2.0
1162,37.0,5.0
1163,15.0,1.0
1164,15.0,1.0
1165,49.0,9.0
1166,20.0,4.0
1167,22.0,2.0
1168,9.0,1.0
1169,19.0,3.0
1170,27.0,10.0
1171,11.0,4.0
1172,11.0,1.0
1173,15.0,1.0
1174,54.0,7.0
1175,32.0,6.0
1176,26.0,3.0
1177,15.0,3.0
1178,14.0,2.0
1179,19.0,2.0
1180,14.0,1.0
1181,10.0,2.0
1182,26.0,4.0
1183,10.0,5.0
1184,22.0,0.0
1185,9.0,4.0
1186,14.0,2.0
1187,17.0,4.0
1188,34.0,12.0
1189,12.0,3.0
1190,17.0,3.0
1191,16.0,3.0
1192,41.0,11.0
1193,11.0,2.0
1194,11.0,3.0
1195,22.0,0.0
1196,19.0,8.0
1197,24.0,8.0
1198,27.0,7.0
1199,15.0,1.0
1200,11.0,1.0
1201,9.0,4.0
1202,50.0,10.0
1203,16.0,2.0
1204,29.0,3.0
1205,28.0,9.0
1206,11.0,3.0
1207,19.0,5.0
1208,11.0,5.0
1209,8.0,1.0
1210,19.0,5.0
1211,23.0,5.0
1212,17.0,3.0
1213,24.0,2.0
1214,12.0,1.0
1215,21.0,7.0
1216,24.0,2.0
1217,8.0,3.0
1218,10.0,2.0
1219,8.0,3.0
1220,15.0,6.0
1221,6.0,5.0
1222,13.0,1.0
1223,12.0,2.0
1224,16.0,2.0
1225,11.0,1.0
1226,11.0,2.0
1227,9.0,2.0
1228,16.0,3.0
1229,19.0,2.0
1230,12.0,3.0
1231,32.0,5.0
1232,11.0,2.0
1233,12.0,3.0
1234,13.0,1.0
1235,13.0,4.0
1236,13.0,1.0
1237,15.0,3.0
1238,10.0,2.0
1239,14.0,3.0
1240,24.0,6.0
